,env1,env2,env3,env4,index,bias1,bias2,bias3,bias4
1,1,2,4,3,1,L,R,L,R
2,2,3,1,4,2,R,L,R,L
3,3,4,2,1,1,L,L,R,R
4,4,1,3,2,2,R,R,L,L
5,1,2,4,3,1,L,R,R,L
6,2,3,1,4,2,R,L,L,R
7,3,4,2,1,1,L,R,L,R
8,4,1,3,2,2,R,L,R,L
9,1,2,4,3,1,L,L,R,R
10,2,3,1,4,2,R,R,L,L
11,3,4,2,1,1,L,R,R,L
12,4,1,3,2,2,R,L,L,R
13,1,2,4,3,1,L,R,L,R
14,2,3,1,4,2,R,L,R,L
15,3,4,2,1,1,L,L,R,R
16,4,1,3,2,2,R,R,L,L
17,1,2,4,3,1,L,R,R,L
18,2,3,1,4,2,R,L,L,R
19,3,4,2,1,1,L,R,L,R
20,4,1,3,2,2,R,L,R,L
21,1,2,4,3,1,L,L,R,R
22,2,3,1,4,2,R,R,L,L
23,3,4,2,1,1,L,R,R,L
24,4,1,3,2,2,R,L,L,R
25,1,2,4,3,1,L,R,L,R
26,2,3,1,4,2,R,L,R,L
27,3,4,2,1,1,L,L,R,R
28,4,1,3,2,2,R,R,L,L
29,1,2,4,3,1,L,R,R,L
30,2,3,1,4,2,R,L,L,R
31,3,4,2,1,1,L,R,L,R
32,4,1,3,2,2,R,L,R,L
33,1,2,4,3,1,L,L,R,R
34,2,3,1,4,2,R,R,L,L
35,3,4,2,1,1,L,R,R,L
36,4,1,3,2,2,R,L,L,R
37,1,2,4,3,1,L,R,L,R
38,2,3,1,4,2,R,L,R,L
39,3,4,2,1,1,L,L,R,R
40,4,1,3,2,2,R,R,L,L
